ID,PRE/POST,ENVIRONMENT,FILENAME,HAS_ATTACHMENTS,REQUESTER,DURATION,CM_AM,CM_IT,CM_UAT,CM_TST5,CM_ST,CM_DEVE2E,CM_COURTESY,CM_PT,CM_CATALOG,CM_ACNDEVOPS,CM_PROD
860,POST,ALIGNMENT,20230726_MP_deactivate_and_reactivate_OS_reconnectionNPP.txt,FALSE,giulia.colombo,5,,,x,,,,,,,,
861,POST,ALIGNMENT,2023.08.08_NSPI_Aug_PostDeploymentSteps_CTG.txt,FALSE,Shridhar.rakshe,5,,,x,,x,x,,,,,x
984,POST,ALIGNMENT,2023.07.26_HerokuAPIEnhancements.txt,FALSE,a.gunasekaran,30,,,,,,,,,,,
985,PRE,ALIGNMENT,MP_Insert_RuleAssignement_PromoMigrazione_CTG.txt,TRUE,Federico.Santurbano,5,,,x,,x,x,,,,,
986,PRE,ALIGNMENT,MP_Update_ple_PromoMigrazione_CTG.txt,TRUE,Federico.Santurbano,5,,,x,,x,x,,,,,
987,POST,ALIGNMENT,2023.07.26_LLAMACacheRefresh_PostStep_CTG.txt,FALSE,jayesh.birari,5,,x,,,x,,,,,,
988,POST,ALIGNMENT,2023.07.26_HerokuAPIEnhancements_CTG.txt,FALSE,a.gunasekaran,40,,,,,,,,,,,
989,POST,ALIGNMENT,2023.07.26_HerokuAPIEnhancements.txt,FALSE,a.gunasekaran,40,,,,,,,,,,,
990,PRE,ALIGNMENT,2023.07.26_NSPI_Drop3_Postdeployment_CTG.txt,FALSE,Shridhar.rakshe,10,,,x,,x,x,,,,,
1121,POST,ALIGNMENT,2023.09.19_MP_Disattivare_e_riattivare_OS_AdesioneLLAMA.txt,FALSE,paolo.occhetto,5,,x,x,,,,,,,,
1122,POST,ALIGNMENT,MP_Insert_RA_PromoSimilMigrazione_CTG.txt,TRUE,Federico.Santurbano,5,,,,,x,,,,,,
1123,POST,ALIGNMENT,MP_Delete_obsolete_RA_CTG.txt,TRUE,Federico.Santurbano,5,,,,,x,,,,,,
1124,POST,ALIGNMENT,MP_Update_PLE_SkyGoPlus_CTG.txt,TRUE,Federico.Santurbano,5,,,,,x,,,,,,
1125,PRE,ALIGNMENT,2023.11.29_LLAMA_ProductRelationship_pre_MP_CTG.txt,FALSE,Iman.Moutaouakil,10,,x,,,,,,,,,
1126,PRE,ALIGNMENT,2023.11.29_LLAMA_RuleActions_PostMP_CTG.txt,FALSE,Iman.Moutaouakil,5,,x,,,,,,,,,
1127,PRE,ALIGNMENT,2023.11.29_llama_Overrides_postMP_CTG.txt,FALSE,Damini.Chauhan,10,,x,,,,,,,,,
1263,POST,ALIGNMENT,2023.11.29_LLAMA_RuleActions_PostMP_CTG.txt,FALSE,Iman.Moutaouakil,5,,x,,,,,,,,,
1264,POST,ALIGNMENT,2023.11.29_llama_Overrides_postMP_CTG.txt,FALSE,Damini.Chauhan,10,,x,,,,,,,,,
1404,POST,ALIGNMENT,2024.01.22_Free_Vison_Post_Steps_CTG.txt,FALSE,Shridhar.Rakshe,5,,,,,x,,,,,,x
1405,POST,ALIGNMENT,BTS_Manual_Procedure.txt,FALSE,chandni.joshi,15,,x,,,,,,,,,
1406,POST,ALIGNMENT,2024.05.07_NetflixDrop4_ManualProcedures_PostDeploymentStep.txt,FALSE,Laura.Belle,10,,x,,,,,,,,,
1407,PRE,ALIGNMENT,2024_03_14_PromoTemplatesCodeCorrection.txt,FALSE,Divakar.Chakka,5,x,,,,,,,,,,
1408,POST,ALIGNMENT,PINC6_Manual_Procedure_CTG,FALSE,chandni.joshi,5,,x,,,,,,,,,x
1409,POST,ALIGNMENT,PINC6_Manual_Procedure_CTG.txt,FALSE,Chandni.Joshi,5,,,,,x,,,,,,x
1410,PRE,ALIGNMENT,DuplicatePricingElementDeletion.txt,FALSE,jayesh.birari,5,,,,,,,,,,,
1411,POST,ALIGNMENT,NewFieldMapperMapping_20240419.txt,FALSE,emanuele.coppola,5,,x,,,,,,,,,
1412,POST,ALIGNMENT,RemoteSiteSetting.txt,FALSE,emanuele.coppola,5,,x,,,,,,,,,
1413,POST,ALIGNMENT,UpdateAccountDummy.txt,FALSE,emanuele.coppola,5,,x,,,,,,,,,
1414,POST,ALIGNMENT,AssignStreamTrialPS.txt,FALSE,paolo.occhetto,5,,,,,,,,,,,
1415,POST,ALIGNMENT,Post_Alastor_20240507.txt,FALSE,Shridhar.Rakshe,5,,,,,,,,,,,
1416,POST,ALIGNMENT,SkyStream_MP.txt,FALSE,jayesh.birari,10,,,,,,,,,,,
1417,POST,ALIGNMENT,PINC6_Manual_Procedure_PriceUpdate.txt,FALSE,Chandni.joshi,5,,x,,,,,,,,,
1418,POST,ALIGNMENT,BTS_Manual_Procedure,FALSE,chandni.joshi,15,,x,,,,,,,,,x
1432,POST,ALIGNMENT,2024.07.23_BundleEditoriale_PostDeploymentStep.txt,FALSE,Damini.Chauhan,10,,x,,,,,,,,,
1433,POST,ALIGNMENT,2024.07.23_CreatePromotionOverrides.txt,FALSE,jayesh.birari,10,,x,,,,,,,,,
1434,POST,ALIGNMENT,2024.07.23_UnscheduleBatchJob.txt,FALSE,jayesh.birari,5,,x,,,,,,,,,
1435,POST,ALIGNMENT,2024.07.23_SFI_OS_Reactivation.txt,FALSE,karthik.bharadwaj,5,,x,,,,,,,,,
1436,POST,ALIGNMENT,2024.07.23_SFI_UpdateListOfValues.txt,FALSE,karthik.bharadwaj,5,,x,,,,,,,,,
1437,POST,ALIGNMENT,2024.07.23_SFI_VlocityScheduledBatchRun.txt,FALSE,karthik.bharadwaj,5,,x,,,,,,,,,
