ID,PRE/POST,ENVIRONMENT,FILENAME,HAS_ATTACHMENTS,REQUESTER,DURATION,CM_AM,CM_IT,CM_UAT,CM_TST5,CM_ST,CM_DEVE2E,CM_COURTESY,CM_PT,CM_CATALOG,CM_ACNDEVOPS,CM_PROD
401,POST,ALIGNMENT,2023.06.22_LlamaFF4_ManualProcedures_PostDeploymentStep,FALSE,Damini Chauhan,5,,x,x,,,,,,,,
402,POST,ALIGNMENT,20230526_MP_FLS_orderField_NSPE.txt,FALSE,paolo.occhetto,5,x,x,x,x,x,x,,,,,
403,POST,ALIGNMENT,2023.07.26_attrubuteoverrides_Uptechdrop2_CTG.txt,FALSE,iman.moutaouakil,5,,,,,x,,,,,,
404,PRE,ALIGNMENT,2023.06.22_LlamaFF4_ManualProcedures_PreDeploymentStep.txt,FALSE,Damini Chauhan,5,,x,x,,,,,,,,
405,POST,ALIGNMENT,2023.06.22_LlamaFF4_ManualProcedures_PostDeploymentStep.txt,FALSE,Damini Chauhan,5,,x,x,,,,,,,,
406,POST,ALIGNMENT,20230622_MP_Attribute-Overrides-LLAMA_CTG.txt,FALSE,Damini Chauhan,5,x,,,,,,,,,,
407,POST,ALIGNMENT,2023.06.22_LlamaFF4_ManualProcedures_PostDeploymentStep_CTG.txt,FALSE,Damini Chauhan,10,,x,x,,,,,,,,
408,POST,ALIGNMENT,2023.06.22_CacheInspector_PostDeploymentStep.txt,FALSE,jayesh.birari,5,,x,x,x,,x,,,,,x
409,POST,ALIGNMENT,2023.06.22_NewSalesPEdrop2_Post_Deploy_Steps_CTG.txt,TRUE,Shridhar,20,,x,x,x,,x,,,,,
410,POST,ALIGNMENT,2023.06.22_NewSalesPEdrop2_Post_Deploy_Steps_CTG.txt,TRUE,Shridhar,15,,x,x,x,,x,,,,,
411,POST,ALIGNMENT,2023.07.26_OverrideDefinitionCorrection_Post_deploy_CTG.txt,FALSE,jayesh.birari,10,,x,,,,,,,,,
412,POST,ALIGNMENT,20230726_MP_deactivate_and_reactivate_OS_changeconsistencyNPP.txt,FALSE,giulia.colombo,5,,,x,,,,,,,,
413,POST,ALIGNMENT,20230726_MP_deactivate_and_reactivate_OS_reconnectionNPP.txt,FALSE,giulia.colombo,5,,,x,,,,,,,,
415,POST,ALIGNMENT,2023.07.26_HerokuAPIEnhancements.txt,FALSE,a.gunasekaran,40,,,,,,,,,,,
416,PRE,ALIGNMENT,MP_Insert_RuleAssignement_PromoMigrazione_CTG.txt,TRUE,Federico.Santurbano,5,,,x,,x,x,,,,,
417,PRE,ALIGNMENT,MP_Update_ple_PromoMigrazione_CTG.txt,TRUE,Federico.Santurbano,5,,,x,,x,x,,,,,
418,POST,ALIGNMENT,2023.07.26_LLAMACacheRefresh_PostStep_CTG.txt,FALSE,jayesh.birari,5,,x,,,x,,,,,,
419,PRE,ALIGNMENT,2023.07.26_NSPI_Drop3_Postdeployment_CTG.txt,FALSE,Shridhar.rakshe,10,,,x,,x,x,,,,,
420,POST,ALIGNMENT,2023.08.08_NSPI_Aug_PostDeploymentSteps_CTG.txt,FALSE,Shridhar.rakshe,5,,,x,,x,x,,,,,x
543,POST,ALIGNMENT,2023.07.26_HerokuAPIEnhancements.txt,FALSE,a.gunasekaran,30,,,,,,,,,,,
547,POST,ALIGNMENT,2023.07.26_HerokuAPIEnhancements_CTG.txt,FALSE,a.gunasekaran,40,,,,,,,,,,,
551,POST,ALIGNMENT,2023.09.19_MP_Disattivare_e_riattivare_OS_AdesioneLLAMA.txt,FALSE,paolo.occhetto,5,,x,x,,,,,,,,x
683,POST,ALIGNMENT,MP_Insert_RA_PromoSimilMigrazione_CTG.txt,TRUE,Federico.Santurbano,5,,,,,x,,,,,,
684,POST,ALIGNMENT,MP_Delete_obsolete_RA_CTG.txt,TRUE,Federico.Santurbano,5,,,,,x,,,,,,
685,POST,ALIGNMENT,MP_Update_PLE_SkyGoPlus_CTG.txt,TRUE,Federico.Santurbano,5,,,,,x,,,,,,
820,PRE,ALIGNMENT,2023.11.29_LLAMA_ProductRelationship_pre_MP_CTG.txt,FALSE,Iman.Moutaouakil,10,,x,,,,,,,,,x
821,POST,ALIGNMENT,2023.11.29_LLAMA_RuleActions_PostMP_CTG.txt,FALSE,Iman.Moutaouakil,5,,x,,,,,,,,,
822,POST,ALIGNMENT,2023.11.29_llama_Overrides_postMP_CTG.txt,FALSE,Damini.Chauhan,10,,x,,,,,,,,,
958,PRE,ALIGNMENT,2023.11.29_LLAMA_RuleActions_PostMP_CTG.txt,FALSE,Iman.Moutaouakil,5,,x,,,,,,,,,
959,PRE,ALIGNMENT,2023.11.29_llama_Overrides_postMP_CTG.txt,FALSE,Damini.Chauhan,10,,x,,,,,,,,,
962,POST,ALIGNMENT,2024.01.22_Free_Vison_Post_Steps_CTG.txt,FALSE,Shridhar.Rakshe,5,,,,,x,,,,,,x
